seq_1,seq_2,label
圆明园的毁灭是中国文化史上不可估量的损失缩句,初唐四杰指的是,0
我怎么会走不掉了,"好吧,我不走",0
话说我要表白,我要表白,1
我有钱你知道吗,我有没有钱,0
说的话你看,你说个外国话,0
你是谁你从哪里来,你是哪个你来自哪个地方,1
小布你是女的还是男的,今年收的红包也太少了吧,0
拉着多少钱呢,R17多少钱,0
我要看动画片我要看动画片,我要看动画片,1
曲面find x2,Findx2上市,0
应用界面在哪？,为什么应用快捷方式长按图标没有用？,0
黄晓明的老婆是谁,肖战和王一博,0
你就是傻吊,你就是个傻吊,1
今天怎么样,howareyoutoday,1
你漂亮说什么都算,你漂亮你说了算,1
我奶奶呢,我奶奶去哪了,1
我没想什么,唉没什么,0
"哈哈,好搞笑啊",你真的好搞笑啊,0
这不是和发行,什么都不是,0
我上车了,坐稳了的话我就开车了,0
我等你吧,我想我还是等你吧,1
给我换一个男的我不想用你了,给我换一个男生吧我不用你了,1
今天穿卫衣有点热哦,今天穿什么颜色的衣服,0
我姐姐属羊?,你属羊?,0
能不能不要放这首歌,不要再放了太难听了,0
oppo客服服务中心,Oppo服务中心,0
手机坏了怎么办,手机丢了怎么办,0
来姨妈可以吃橘子吗,孕妇可以喝奶茶吗,0
我要减肥,我决定减肥,1
手机怎么充电,怎么弄充电提示音呀,0
你觉得你聪明还是siri聪明,你很聪明,0
你是最丑的人吗,你是不是最丑的人,1
我寂寞了怎么办,一个人寂寞怎么办,1
你怎么那么烦人啊,你怎么这么讨厌,1
更换手机怎么把手机中的资料传过去,如何把旧手机资料传到新手机,1
我要把你买了,买你是我的目标,1
你也不会讲,你不会啥呀,0
请告诉我你叫什么名字,我叫你啥,1
给我唱首歌吧,你可以唱一首歌给我听,0
打开TALKBACK,怎么打开TALKBACK,0
你现在需要充电吗,你现在充不充电,1
你们是谁,你们叫什么,1
爱一个人是什么感觉,什么是社会主义民族关系的保障,0
小布二十分钟之后叫我,二十分钟之后叫我,1
你好不好看,你好不好吗,0
这部手机是什么型号,这个手机是什么型号的,1
给我播放一首等一抖音,等我两分钟,0
可是我不喜欢你啊,可是你再说话我不喜欢,0
现在电脑用什么型号好呢,我用的手机型号是什么,0
儿童动漫,你喜欢哪部动漫,0
我需要你的陪伴,我感觉你没怎么陪伴我,0
你猜我喜欢什么歌,你猜我喜欢什么,0
那我先走,我就先走了,1
那个啥呀,把那个啥子啊,0
我刚才不是说了我的名字吗,我不是这个名字,0
说啊你比厄你比什么五环多一环,你比小冰强多了,0
天秤座和,十二星座谁最漂亮,0
有事再叫我吧,再叫我吧,1
手机使用usb线条连接电脑无法充电,se充电接口,0
闹钟响了,给我订四点的闹钟,0
你喜欢我吗,你不爱我了,0
我们弟弟还会点什么,你还会点什么,0
我对你的看法很消极,我对你好失望,0
我想猜谜语,启动猜谜语,0
我快过生日了,"小影,我明天过生日",0
你很高兴啊,你好厉害,0
我别跟你客气,你别跟我客气,0
的过去式,一直的过去式,0
我什么时候回家,为什么没人知道他啥时候能回家,0
我不想喂你吃饭,好了说什么我都不帮你吃饭了，你明明就有这个能力,0
我确信说的是外语喽,我妈妈确信说的是外语喽,0
关闭网络关闭网络,关闭网络,1
要不你在干什么呢,不你在干什么,1
如合升级coloros9,a9更新coloros7,0
闹钟响了,设置一个7点15的闹钟,0
怎么把你关掉,你怎样才能停止,0
羊肚怎么煮好吃,我觉得冰淇淋很好吃,0
我真的很关心你,我很关心你,1
请问你能帮我停止计时吗,请问你帮我关闭一下好吗,0
我叫你的时候,我叫你什么,0
十九点七六除以五点二,二十乘二十,0
你难道看不出来我今天不开心吗,今天好不开心,1
这两个故事,奥特曼的故事,0
开关按键不好使用怎么处理,下面键盘不可使用，该怎么办？,0
要不要做我的男朋友,我可以做你男朋友吗,0
我没有叫你你怎么自己出来了,我没有叫你你为什么自己出来了,1
臭皮匠顶个诸葛亮,刘禹锡字什么,0
难道我没有喜欢的人吗,我有喜欢的人啊,1
我想吃糖,我喜欢吃糖,0
我想听你唱歌,我想听一首卡路里,0
滚看见你我就烦,滚我讨厌你,1
给爸爸吗,你的爸爸是,0
跟你聊天好累,我就是跟你聊天所以心才累的,0
现在是下午了,尼玛现在是现在是几点,0
怎么不告诉我,你怎么不告诉我,1
我是不是你的人,你是不是我的人,0
能不能夸夸我呢,夸我几句,1
新建oppooppoa51连系人,oppoa11更新系统,0
我一声爸爸,叫我一声爸爸,0
你能帮我做点什么,你能帮我做些什么呢,1
支付宝啊,打开支付宝小布,0
我也是特别的喜欢你,我也好喜欢你,1
来抱一下,我想抱抱你,1
她们的阿姨也没空,他也没空,0
绵阳今天天气怎么样,今天的天气很好哦,0
我是知道答案的,如果答案是,0
茄子怎么炒,茄子怎么做才好吃,0
麻烦你教我打字吧,教我打字,1
手机长度最低,手机温度特定高,0
拍照软件集合拍照异常,拍照异常,0
谁谁最美丽的女人,最漂亮的女人是谁,1
find x2软件更新,FINDX2刷新率,0
爸爸这声你叫我一下,叫声爸爸给我听听,1
忘记锁屏指纹密码,忘记锁屏密码，不能用指纹密码,1
告诉我你究竟爱谁,告诉我你爱谁,1
给我讲个故事吧,你给我讲一个笑话,0
明天天气好吗,明天中山什么天气,0
请问oppo手机怎么录制,怎么查看oppo手机的温度,0
我哦怎么英语怎么说,怎么说的,0
opopr11屏幕总成多少钱,OPPOR15屏幕总成多少钱,0
给我充电,快给我充充电,1
成都有没有哥哥,成都到底有还是没有哥哥啊,1
非常有才华,太有才了,1
没回我信息,我想回信息,0
你多大岁数啦,2012年,0
我要开个水浒传,我要开一个水浒传,1
小欧你热不热,小欧你有没有感觉到热,1
那今天这样子,就这样子吧!,0
我刚才说的你不明白,你刚才说的我不明白,0
爸爸的爸爸的爸爸的爸爸的爸爸叫什么,妈妈的妈妈的,0
取消提醒,不用提醒了,0
你说话的形式是怎样的,你是怎么说话的,1
那你倒是讲啊,你倒是赶紧说啊,1
我让你给我放个屁,听到没我让你给我放个屁,1
看不到我,你是不是看不到我呢,1
说不说不是的啦,不是已经说了吗,0
还有一个,嗯还有一个,1
帮我设置一个明天早上八点半的闹钟,定个五点十分闹钟,0
你是不是傻啊,你是不是傻呀你,1
那这又是为什么呢,那又是什么原因造成的呢,1
隐藏按键怎么设置？,我想隐藏软件怎么设置？,0
我要打麻将,你会不会打麻将,0
我想要证据证明你在开车现在只是怀疑,我怀疑你在开车可是我没有证据,1
可以改你的声音吗,你的声音可以被转换下吗,1
你的爸爸是谁,你可有爹,1
给我取消,给我们爸爸取消,0
那你陪我聊天吧,你陪我聊会儿天吧我好寂寞,0
给我讲一个小红帽的故事,来给我讲个故事,0
你咋回事啊,什么态度啊你这是,0
我们要见,我们明天见吧,0
你猜我多少岁,你猜我几岁,1
你那个吹,你男朋友那个吹,0
说点有用的,讲讲有用的话,1
怀孕能吃茭笋吗,怀孕能吃南瓜吗,0
我挺喜欢siri的,你们的叔叔挺喜欢siri的,0
云相册中的图片如何恢复到手机,N3云相册中的图片如何恢复到手机,0
reno支持无线充电吗,Reno4 Pro是否支持无线充电,0
你现在多大了,你多大了,1
什么都不是,也不是那个,0
我说我的手机是什么牌子的,哪个牌子的手机好,0
我说你还是不是个人了,我说你是不是人,1
讲个笑话听吧,讲一个搞笑段子,1
横山今天的天气,今天的天气很好哦,0
opporoneace2安,OPPORenoAce怎么读,0
怎么把早安图片发朋友圈,在朋友圈发照片好吗,0
a11x充满电需要多久,Oppoa11x需要多久才能充满电？,1
负责就行,你负责做什么的,0
小布叫美女,你会学狼叫吗,0
我要睡二十分钟,我要睡了,0
闹钟响了,下午五点的闹钟,0
告诉我你是不是好孩子行不,你是个好孩子吗,1
是取笑你啊,我说的是你啊,0
你为什么会说话,为什么你会说话,1
春天让我好激动,春天的雨,0
我要干些什么,你猜我想要什么,0
你是笨猪,你是不是一头猪啊,0
我都快老了,因为我太老了,0
那也不能啊,再也不能了,0
你好小的太小的那个虾,你好小哦,0
现在不会的话以后更不会,如果现在以后,0
不要夸大口,不要吹牛,1
你是笨蛋怎么说,你是傻逼怎么说,1
小欧是你的什么,如实招来小欧是你的什么,1
因为啥啊你咋不去上班了,你咋不上班,1
把你吃掉你还看,嗯再看就把你吃掉,1
比较好看的电影是什么电影,今天什么电影最好看,0
我把你当爱人你却把我当兄弟,我一直把你当朋友,0
话说我最喜欢的是谁呀,我最喜欢谁呀,1
你弄啥来,你在做什么,1
毕竟我玩手机玩的,我要玩手机,0
换一个新闻,我要换了你,0
你眼睛好小,你的眼睛真的有这么小么,1
打的打的,帮我打开滴滴打车,0
能不能让我睡觉拜拜,拜拜我去睡觉,1
有玩的好的,哈尔滨有什么玩的,0
闹钟响了,一个九分钟之后的闹钟,0
那你给我十块钱,转十块钱给小平,0
你喜欢喝的茶都有什么,你喜欢喝什么茶,1
约你吃饭,约你吃个饭,1
附近有没有好玩的地方,附近哪里有网吧,0
你是用电的吗,为啥我这里没有充电,0
赛罗警备队,谁是周震南,0
你能告诉我你是喜欢中国还是美国吗,你喜欢中国还是美国,1
你怎么什么都不会呀,你咋这么笨,1
充电器冲不上电,充电器充不上电,1
那还挺好的,其实真挺好的呀,1
我旁边真的有个神经病,我旁边有个神经病,1
答应我你要给我生一个孩子,你给我生个孩子,1
嗯我怎么讲呢,嗯他们妹怎么讲呢,0
因为你是机器人,你确定你是机器人,0
手机自动更新完成声音怎样变化小,如何改变小布的语音？,0
这个头发好看一些,你的头发好看吗,0
适合穿什么衣服,你穿的什么衣服,0
现在什么安卓软件可以看最新韩剧,什么软件可以看电视直播,0
我跟你没什么好谈的,我也没什么和你好谈的,1
你真不好用,你不好用你知道不,1
我经常发微信朋友圈,嗯我要发微信,0
和妈妈视频聊天,和妈咪视频说话,1
我哪里让你喜欢我,你喜欢我啥呀,1
我的弟弟叫什么,你知道我的弟弟叫什么名字吗,1
女人唱首歌给我听吗,你愿意唱歌给我听吗,0
拿过来可以么,我给你拿过来,0
你在思考什么东西,你在思考什么,1
是谁制造的你,是谁创造的你,1
我想听你唱歌,我想听一首歌,0
我这个题错哪里了我怎么没有看出来呢,帮我看一下这个,0
高考是什么时候,哪天高考,1
黑洞组成物质是什么是由什么组成吗,你是由什么组成的,0
你觉得他喜欢我吗,他喜欢我吗,1
搜索QQ群名,你的qq号,0
关于学习的名言警句,一年之计在于春一日之计在于晨一寸光阴一寸金寸金难买寸光阴,0
没脑子的东西,你就是个没脑子的东西呢,1
那你认识小艾同学吗,你认识小艾同学吗,1
看一下今天拍了什么照片,拍张你照片呗,0
我快出家门口了,我在家里,0
中午吃饭了吗,中午吃没吃饭到底,1
打开微信收城市服务,你都去过哪些城市,0
抗美援朝中国死了多少人,抗美援朝,0
那么来吧,你会一些什么,0
那就轰轰烈烈的谈一场恋爱吧,那就谈恋爱吧,1
换一个白噪音,打开白噪音专注,0
你在这里干什么呀,你在这儿干嘛呀,1
findX2支持指纹支付吗,Find x2支持打印吗,0
还没吃饭呢,没什么我去吃饭了,0
我是不是最聪明的人,我是不是很聪明,1
能干啥呀,能干什么呀,1
白菜怎么做,凉菜怎么做,0
除了抱歉你还会什么吗,你只会说抱歉吗,1
那你是什么,你是啥子吗,0
你觉得王源长得好看不,你不喜欢易烊千玺啊,0
来对我呀,你想过没有,0
查看一下我的快递,有快递吗,1
那你这样说话我就不开心,我想你这样说话我是不会开心的,1
Reno4SE支持NFC,Reno3 Pro是否支持NFC,0
就你还大智若愚,你以为你是大智若愚吗,1
我叫白雪,我叫做白雪,1
人为什么要上学,人不上学会怎么样,0
来聊会天吧,你会聊什么天,0
这样子的啊,就这样子吧,0
爬山的英语怎么说,努力学习的英文,0
你觉得可以吗,你怎么看,1
我想和你约会,你以为我不想和你约会吗,1
送我个游戏皮肤吗,我之前在小游戏app上玩的那个游戏不见了的,0
那你继续给我说宝宝我说的话虽然你必须给我,给我说个顺口溜,0
reno2z电池容量,Reno4 Pro的电池容量,0
你这样说我会害羞的,你知道吗你这样说我会害羞的,1
cph1805什么手机,cph1605软件,0
通话遮挡屏幕黑屏正常,摄像头区域遮挡屏幕,0
手机视频有回音,手机不能放视频，老是没有声音,0
我不说话呢,我不说话你也不能说话的对不对,0
四加八,两百乘三十,0
不和你玩了关掉,不和你玩了,1
那是什么游戏？,欢太是什么？,0
"我妈妈来了,88",妈妈最好了,0
你能说河南话吗,你会河南话吗,1
怎么找回在上删除照片,已经删除的照片怎么找回,0
